chrom,start,end,tile_id,score,strand,GM12878,Jurkat,MRC5,A549,HEK293,K562,GM12878_active,Jurkat_active,MRC5_active,A549_active,HEK293_active,K562_active,ATAC_signal,GM12878_category,Jurkat_category,MRC5_category,A549_category,HEK293_category,K562_category
KT899744.1,250,450,Herpesvirus:Herpes_Simplex_1_KOS:6:+,0,+,3.1799503239222813,3.9287352797503856,4.241592217787113,5.097212693071676,5.382810210871618,6.89124047447454,True,True,True,True,True,True,175.13579,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,550,750,Herpesvirus:Herpes_Simplex_1_KOS:12:+,0,+,1.4305554480798155,1.0795475211573928,1.340850623755664,1.4957175013569366,1.1583071672578906,2.661473400320658,False,False,False,False,False,True,406.68427,Neither,Neither,Neither,Neither,Neither,Active only
KT899744.1,1400,1600,Herpesvirus:Herpes_Simplex_1_KOS:29:+,0,+,3.0824720080615458,4.215097288752279,5.680117350704776,5.197220019945735,5.372979841365979,7.239814501742677,True,True,True,True,True,True,462.50046,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1450,1650,Herpesvirus:Herpes_Simplex_1_KOS:30:+,0,+,3.149216050148813,3.697123558649544,5.45543519633417,5.533813584262296,5.907467494402656,7.412953125149073,True,True,True,True,True,True,533.1572,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1500,1700,Herpesvirus:Herpes_Simplex_1_KOS:31:+,0,+,4.084357072116031,4.971311803375268,7.919447955942929,6.784159603434434,7.007553772983237,8.25828001818452,True,True,True,True,True,True,615.1089,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1550,1750,Herpesvirus:Herpes_Simplex_1_KOS:32:+,0,+,3.0575557526997303,4.376285247224024,5.97435300999064,5.784680445589588,5.838108212338164,6.920116995951371,True,True,True,True,True,True,641.30707,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1600,1800,Herpesvirus:Herpes_Simplex_1_KOS:33:+,0,+,2.157337113079673,3.485022502169025,2.391131750566199,2.919425852805543,3.9806803255385614,5.704612631747371,True,True,True,True,True,True,638.01263,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1650,1850,Herpesvirus:Herpes_Simplex_1_KOS:34:+,0,+,2.4582445283043977,3.805335258738295,2.611941820260472,3.5135076976920963,5.018967447611903,6.231628786291509,True,True,True,True,True,True,636.94586,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1700,1900,Herpesvirus:Herpes_Simplex_1_KOS:35:+,0,+,2.0482505305226004,2.8687970890341146,1.4496875647463825,3.0989944502271927,2.845755281525116,5.087162977029375,True,True,False,True,True,True,644.85236,Active only,Active only,Neither,Active only,Active only,Active only
KT899744.1,1750,1950,Herpesvirus:Herpes_Simplex_1_KOS:36:+,0,+,2.469619745438865,3.4927052203856883,2.234496566192368,3.885495189028639,3.649841403710488,6.251868316505321,True,True,True,True,True,True,627.0,Active only,Active only,Active only,Active only,Active only,Active only
